年月,臺北市,新北市,臺中市,臺南市,高雄市,宜蘭縣,桃園市,新竹市,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,金門縣,連江縣
87年1月,2600118,3423966,2352337,1814834,2665651,466682,1616691.0,352136,422202,560685,1298468,546873,752069,262891,567756,913672,252985,358259,91244,379543,51245,8281
87年2月,2601042,3427995,2353998,1813560,2668917,466301,1619514.0,352110,423093,560430,1299865,546455,754221,261915,568508,912886,253051,357811,91998,378935,51142,8458
87年3月,2605761,3431846,2357761,1814029,2671124,466047,1622775.0,352528,423536,560118,1299892,546316,752619,262200,568134,912639,252645,357511,91755,379200,51104,8178
87年4月,2608827,3435477,2360794,1814910,2672941,466056,1625680.0,353004,423979,559907,1299865,546175,752019,262455,567682,912370,252298,357332,91508,379613,51092,8070
87年5月,2612246,3439484,2363879,1815956,2674837,466109,1628391.0,353467,424371,559857,1299324,546059,751616,262681,567290,912155,252075,357235,91122,379869,51055,7939
87年6月,2622171,3440211,2367275,1817148,2677692,466001,1632365.0,353852,424844,559693,1298767,545710,750722,263074,565878,911155,251486,356971,90128,380298,51062,7269
87年7月,2628310,3442569,2370326,1817976,2680135,465825,1635679.0,354267,425348,559445,1298952,545540,750333,262947,565738,910770,251115,356836,89774,380656,51078,6972
87年8月,2631230,3446373,2374121,1818946,2681994,465747,1639605.0,354592,425994,559446,1299350,545695,749910,262983,565700,910477,250636,356727,89581,381020,51140,6886
87年9月,2633363,3449580,2376992,1819664,2683956,465723,1643005.0,355064,426544,559477,1299693,545648,749656,263019,565584,910535,250190,356668,89565,381336,51132,6818
87年10月,2635524,3452474,2379602,1820565,2685729,465660,1645359.0,355450,427098,559729,1300354,545790,749423,262955,565694,910513,250015,356719,89584,381542,51131,6769
87年11月,2638565,3454233,2382088,1821342,2687529,465684,1647652.0,355802,427517,559892,1301121,545856,749503,262960,565916,910709,249968,356653,89588,381695,51102,6728
87年12月,2639939,3459624,2385367,1822102,2689374,465627,1650984.0,356243,427980,559858,1301467,545874,748995,263050,565733,910540,249937,356601,89463,382118,51060,6655
88年1月,2640465,3463699,2388219,1822798,2690504,465328,1654261.0,356579,428376,559804,1301796,545878,748505,263222,565552,910317,249750,356619,89360,382277,51018,6622
88年2月,2640102,3467237,2390889,1823381,2691674,465261,1656955.0,356888,428823,559692,1302267,545844,748387,263275,565320,910125,249534,356640,89309,382450,51033,6591
88年3月,2640285,3472501,2394513,1824120,2693096,465095,1660709.0,357609,429294,559555,1302416,545756,747877,263171,565038,910011,249158,356440,89181,382718,51087,6552
88年4月,2640225,3477100,2397926,1825355,2694111,464892,1663777.0,357993,429771,559401,1302530,545640,747623,263230,564978,909899,248957,356290,89213,382832,51142,6559
88年5月,2640014,3481734,2401439,1826403,2695744,464872,1667071.0,358490,430346,559499,1302741,545562,747320,263387,564668,909774,248773,356049,89147,383011,51203,6550
88年6月,2640322,3485455,2405429,1827467,2696870,464892,1670756.0,359087,430639,559404,1302531,545321,747207,264286,563718,909583,248582,356113,89164,383272,51261,6532
88年7月,2640318,3489921,2408556,1828237,2698125,464890,1674796.0,359537,431163,559498,1303115,545315,746882,264370,563653,909478,248400,355992,89115,383488,51311,6555
88年8月,2639169,3494909,2412240,1828756,2699353,464900,1679135.0,360097,431772,559329,1303476,545181,746531,264456,563445,909052,248208,355829,89093,383927,51392,6561
88年9月,2638249,3499713,2414419,1829315,2700474,464854,1682484.0,360737,432153,559319,1303603,544762,746632,264351,563413,908907,247986,355721,89114,384120,51462,6568
88年10月,2638204,3503866,2416706,1829970,2702425,464982,1685553.0,361263,432700,559528,1304177,544285,746598,263914,563764,908941,247969,355640,89072,384541,51554,6575
88年11月,2639869,3507055,2419327,1830808,2704099,465056,1688333.0,361609,433206,559708,1304871,544260,746450,264173,563433,909040,247900,355688,89045,384870,51637,6563
88年12月,2641312,3510917,2421996,1831783,2705857,465004,1691292.0,361958,433767,559804,1305640,544038,746241,265109,562662,909015,247801,355686,89013,385201,51731,6560
89年1月,2643340,3514197,2424383,1832587,2707151,464986,1694209.0,362274,434122,559897,1306261,543867,746189,265165,562494,909025,247660,355694,89017,385365,51781,6576
89年2月,2645593,3519200,2426990,1833029,2708372,464983,1697509.0,362781,434480,559842,1306298,543447,745537,265090,562391,908465,247456,355389,88930,385733,51808,6620
