,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,桃園市
99年12月,3897367,2618772,2648419,1873794,2773483,460486,2002060,513015,560968,1307286,526491,717653,543248,873509,230673,338805,96918,384134,415344,272390,97364,9944,
100年1月,3897421,2622883,2649311,1873406,2773433,460368,2002424,513220,561016,1306789,526179,717131,542832,872893,230513,338634,96926,383680,415557,272320,97733,9959,
100年2月,3897888,2624791,2649892,1873176,2772929,460220,2002480,513513,560890,1306423,525940,716827,542288,872262,230314,338481,96854,383352,415797,272234,97969,9937,
100年3月,3898230,2627677,2651152,1872933,2772834,460036,2002925,513838,560802,1305744,525553,716457,541637,871462,230140,338276,96789,382865,416191,272181,98186,9970,
100年4月,3900199,2630285,2652435,1873193,2772981,459746,2003618,514228,560791,1305243,525286,716101,541148,870567,229949,338048,96676,382551,416426,272218,98641,9991,
100年5月,3901959,2633044,2653698,1873368,2772850,459505,2004407,514728,560766,1304675,524845,715770,540664,869617,229703,337758,96628,382136,416962,272176,99278,9991,
100年6月,3903745,2635766,2655456,1874724,2772461,459349,2005795,515044,560813,1304216,524426,715288,540059,868827,229420,337557,96597,381770,417335,272128,99691,10010,
100年7月,3906117,2637866,2657253,1875491,2772647,459358,2007536,515619,560940,1304097,524126,714876,539667,868138,229199,337382,96658,381321,417554,271994,100248,9991,
100年8月,3908632,2639064,2658735,1875637,2772838,459347,2008845,516143,561226,1303741,523805,714539,539162,867113,228890,337193,96642,381056,417966,271960,101094,10010,
100年9月,3910086,2640099,2659828,1876031,2773157,459332,2010168,516650,561295,1303192,523491,714245,538779,866145,228631,336978,96779,380647,418534,271758,102064,10058,
100年10月,3911833,2643136,2661290,1876312,2773526,459296,2010987,517114,561523,1303054,523176,714078,538436,865515,228454,336885,97007,380501,418927,271644,102827,10084,
100年11月,3913595,2647122,2662770,1876706,2773855,459227,2012174,517309,561833,1303062,522963,713756,538209,864979,228430,336836,97091,380281,419384,271594,103340,10104,
100年12月,3916451,2650968,2664394,1876960,2774470,459061,2013305,517641,562010,1303039,522807,713556,537942,864529,228290,336838,97157,379927,420052,271526,103883,10106,
