,臺北市,高雄市,臺北縣,宜蘭縣,桃園縣,新竹縣,苗栗縣,臺中縣,彰化縣,南投縣,雲林縣,嘉義縣,臺南縣,高雄縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,臺中市,嘉義市,臺南市,金門縣,連江縣
87年1月,2600118,1438806,3423966,466682,1616691,422202,560685,1448857,1298468,546873,752069,567756,1096600,1226845,913672,252985,358259,91244,379543,352136,903480,262891,718234,51245,8281
87年2月,2601042,1446517,3427995,466301,1619514,423093,560430,1449719,1299865,546455,754221,568508,1096838,1222400,912886,253051,357811,91998,378935,352110,904279,261915,716722,51142,8458
87年3月,2605761,1448400,3431846,466047,1622775,423536,560118,1451865,1299892,546316,752619,568134,1096462,1222724,912639,252645,357511,91755,379200,352528,905896,262200,717567,51104,8178
87年4月,2608827,1450341,3435477,466056,1625680,423979,559907,1453434,1299865,546175,752019,567682,1096785,1222600,912370,252298,357332,91508,379613,353004,907360,262455,718125,51092,8070
87年5月,2612246,1452647,3439484,466109,1628391,424371,559857,1455020,1299324,546059,751616,567290,1097258,1222190,912155,252075,357235,91122,379869,353467,908859,262681,718698,51055,7939
87年6月,2622171,1454439,3440211,466001,1632365,424844,559693,1457475,1298767,545710,750722,565878,1097672,1223253,911155,251486,356971,90128,380298,353852,909800,263074,719476,51062,7269
87年7月,2628310,1456356,3442569,465825,1635679,425348,559445,1459427,1298952,545540,750333,565738,1098275,1223779,910770,251115,356836,89774,380656,354267,910899,262947,719701,51078,6972
87年8月,2631230,1458008,3446373,465747,1639605,425994,559446,1461474,1299350,545695,749910,565700,1098865,1223986,910477,250636,356727,89581,381020,354592,912647,262983,720081,51140,6886
87年9月,2633363,1459346,3449580,465723,1643005,426544,559477,1463032,1299693,545648,749656,565584,1099251,1224610,910535,250190,356668,89565,381336,355064,913960,263019,720413,51132,6818
87年10月,2635524,1460453,3452474,465660,1645359,427098,559729,1464200,1300354,545790,749423,565694,1099673,1225276,910513,250015,356719,89584,381542,355450,915402,262955,720892,51131,6769
87年11月,2638565,1461996,3454233,465684,1647652,427517,559892,1465809,1301121,545856,749503,565916,1100078,1225533,910709,249968,356653,89588,381695,355802,916279,262960,721264,51102,6728
87年12月,2639939,1462302,3459624,465627,1650984,427980,559858,1467579,1301467,545874,748995,565733,1100270,1227072,910540,249937,356601,89463,382118,356243,917788,263050,721832,51060,6655
88年1月,2640465,1463206,3463699,465328,1654261,428376,559804,1468937,1301796,545878,748505,565552,1100472,1227298,910317,249750,356619,89360,382277,356579,919282,263222,722326,51018,6622
88年2月,2640102,1464109,3467237,465261,1656955,428823,559692,1470219,1302267,545844,748387,565320,1100533,1227565,910125,249534,356640,89309,382450,356888,920670,263275,722848,51033,6591
88年3月,2640285,1465423,3472501,465095,1660709,429294,559555,1471751,1302416,545756,747877,565038,1100871,1227673,910011,249158,356440,89181,382718,357609,922762,263171,723249,51087,6552
88年4月,2640225,1466446,3477100,464892,1663777,429771,559401,1473127,1302530,545640,747623,564978,1101471,1227665,909899,248957,356290,89213,382832,357993,924799,263230,723884,51142,6559
88年5月,2640014,1467773,3481734,464872,1667071,430346,559499,1474236,1302741,545562,747320,564668,1101890,1227971,909774,248773,356049,89147,383011,358490,927203,263387,724513,51203,6550
88年6月,2640322,1468586,3485455,464892,1670756,430639,559404,1475254,1302531,545321,747207,563718,1102022,1228284,909583,248582,356113,89164,383272,359087,930175,264286,725445,51261,6532
88年7月,2640318,1469723,3489921,464890,1674796,431163,559498,1476591,1303115,545315,746882,563653,1102510,1228402,909478,248400,355992,89115,383488,359537,931965,264370,725727,51311,6555
88年8月,2639169,1470997,3494909,464900,1679135,431772,559329,1478184,1303476,545181,746531,563445,1102755,1228356,909052,248208,355829,89093,383927,360097,934056,264456,726001,51392,6561
88年9月,2638249,1471783,3499713,464854,1682484,432153,559319,1479105,1303603,544762,746632,563413,1102909,1228691,908907,247986,355721,89114,384120,360737,935314,264351,726406,51462,6568
88年10月,2638204,1473452,3503866,464982,1685553,432700,559528,1479932,1304177,544285,746598,563764,1103122,1228973,908941,247969,355640,89072,384541,361263,936774,263914,726848,51554,6575
88年11月,2639869,1474366,3507055,465056,1688333,433206,559708,1480845,1304871,544260,746450,563433,1103470,1229733,909040,247900,355688,89045,384870,361609,938482,264173,727338,51637,6563
88年12月,2641312,1475505,3510917,465004,1691292,433767,559804,1481407,1305640,544038,746241,562662,1103723,1230352,909015,247801,355686,89013,385201,361958,940589,265109,728060,51731,6560
89年1月,2643340,1476625,3514197,464986,1694209,434122,559897,1482040,1306261,543867,746189,562494,1104104,1230526,909025,247660,355694,89017,385365,362274,942343,265165,728483,51781,6576
89年2月,2645593,1478022,3519200,464983,1697509,434480,559842,1483001,1306298,543447,745537,562391,1104091,1230350,908465,247456,355389,88930,385733,362781,943989,265090,728938,51808,6620
89年3月,2646861,1478924,3524200,464965,1700995,434704,559754,1483994,1306659,542819,745047,562240,1104370,1230767,908178,247162,355180,88855,385888,363409,946310,265182,729813,51883,6618
89年4月,2647085,1480042,3527978,464858,1704008,435125,559534,1484782,1306972,542576,744524,562096,1104307,1230950,907773,246881,355040,88948,386106,364031,948589,265337,730583,52001,6607
89年5月,2646989,1481487,3532439,464853,1707451,435318,559520,1485575,1307083,542259,744082,561714,1104323,1230900,907573,246664,354746,88991,386239,364397,951331,265505,731509,52139,6571
89年6月,2646753,1482899,3537707,464694,1711139,435753,559265,1486268,1306848,541792,743653,561467,1104267,1230637,907301,246386,354329,89029,386430,364978,954177,265713,732241,52215,6588
89年7月,2647614,1484085,3542242,464860,1714495,436276,559246,1487630,1307187,541571,743451,561514,1104682,1231006,907177,246149,354029,89124,386664,365528,956285,265693,732796,52291,6581
89年8月,2646187,1485494,3546941,464732,1718590,437008,559272,1489017,1307631,541353,743536,561550,1105219,1231365,906903,245764,353907,89203,386933,366093,958300,265832,733094,52496,6614
89年9月,2645314,1486620,3551713,464728,1722524,437770,559400,1490496,1308207,541343,743327,561652,1105844,1232245,907028,245355,353694,89298,387298,366683,960091,265839,733232,52641,6607
89年10月,2645456,1488041,3556618,464907,1726036,438413,559544,1491707,1309006,541344,743439,561806,1106572,1233251,907189,245360,353661,89397,387800,367202,962141,266012,733370,52936,6638
89年11月,2645979,1489435,3561626,465108,1729261,439070,559593,1492936,1309689,541467,743540,562025,1107312,1234008,907376,245299,353644,89415,388108,367929,963898,266144,733946,53293,6687
89年12月,2646474,1490560,3567896,465186,1732617,439713,559703,1494308,1310531,541537,743368,562305,1107687,1234707,907590,245312,353630,89496,388425,368439,965790,266183,734650,53832,6733
90年1月,2647076,1491714,3571054,465238,1735218,440202,559822,1495318,1311134,541669,743292,562303,1107659,1235013,907585,245226,353700,89594,388658,368749,967116,266297,735314,54484,6790
