title,link_url,photo_url,address,price,star,feature
張美阿嬤農場,https://ifoodie.tw//restaurant/5eda54f62756dd28bbf071c7-張美阿嬤農場,https://lh3.googleusercontent.com/PQD9wBnWNig54TQ1iFDKtW8fX9eEZDn1QE5Ovqhdw4LMVFFiq-qS8N_h5_f5Bol9xN7eHR4tCNdSH8_BDW629ir9r5NfzgI=s360,宜蘭縣三星鄉行健溪一路二段161號,250,4.9,午餐
屋馬燒肉 國安店,https://ifoodie.tw//restaurant/584af2f02756dd6151b5141a-屋馬燒肉-國安店,https://lh3.googleusercontent.com/XfCqcPzrx9Ozn4CsHXg2h9W0KB0tzn3dIgeYjwDoRCQZHZq-Qf5dic85zBnt-mS2pCZZWz77ZfPZSm2wZx9qZ2R9UoDAWCY=s360,臺中市西屯區國安一路168號B1之2,1000,4.8,約會餐廳精緻高級宵夜午餐
皇家帝國麻辣火鍋,https://ifoodie.tw//restaurant/559c0989c03a101f6d8b7eb0-皇家帝國麻辣火鍋,https://lh3.googleusercontent.com/JIDc2erMg0nzHvR2zEi2W7CPn5GMmYv00uK3BZmu4ykZirQX83CCNz3-aSMbi7pscI11NNAoyVRgXCTjghkjYH0xP7KDd_E=s360,臺北市萬華區中華路一段192號,1100,4.6,火鍋精緻高級約會餐廳宵夜
宮原眼科,https://ifoodie.tw//restaurant/559bbd61c03a101f6d8b5ac1-宮原眼科,https://lh3.googleusercontent.com/ZeApfY5hbGg3b5-415uIV2M12Xt0PmfsVyB5BZ0SMAHVORMUjsCqHAQUtqVYehNrw4ApP0tmCQD6hSy1XXwwnX55dO_nmA=s360,臺中市中區中山路20號,280,4.0,甜點冰品飲料下午茶
臺中國家歌劇院,https://ifoodie.tw//restaurant/6391e71701ba334db37ab74f-臺中國家歌劇院,https://lh3.googleusercontent.com/avLq7wTEGA_G_-ZLhfwOR9DxI2fCXK09xqIC6Yi9KRVIqSsjskb81USJ67emMxOUkB4HxSEswntDnSgoi_5A6mvn1ZsJBVhgNdoe_bpgbGn10w=s360,臺中市西屯區惠來路二段101號,150,4.5,午餐晚餐
安平老街,https://ifoodie.tw//restaurant/62f3b26b7cc7fc49b6eb906b-安平老街,https://lh3.googleusercontent.com/Fs-f5vM0tph9rMddogmZF5NA76GdNkalWD_IuPXXJgAX1i_VpUt9HxESflt7aIxVJZZkVkosx679fJ317jIjcRpWAFNOmDfXMOhXHVx5K-kd=s360,臺南市安平區延平街,300,4.2,咖哩宵夜午餐晚餐
千野村日式景觀園區,https://ifoodie.tw//restaurant/6363c24b658aba17a8fc175c-千野村日式景觀園區,https://lh3.googleusercontent.com/_bfspfViKeR02WzhyzXatpdNA64iAsz1GPGPYkJbLwxEEoE_ZbYlF-AVTpKLcP5d_Ivaj9ggtd8t2EOnRJ7pg1XBx-Ro_UNCH8wL0k6wEhU=s360,高雄市田寮區七星路80之20號,480,4.9,日本料理甜點景觀餐廳約會餐廳
信兵衛 手做丼飯壽司,https://ifoodie.tw//restaurant/579f92202756dd715c15f013-信兵衛-手做丼飯壽司,https://lh3.googleusercontent.com/_IPArYXDmuKXbsfEDmV0L3cZd23a2-pkWsyIuuxPI73a2qtBPa8MtGU5_capKHZIqaZTwioqFtBu_iTQX0Rfjc1ISFKwFthpIMoCZb8Yf6E=s360,台中市北區成功路478號,1500,4.8,日本料理居酒屋午餐晚餐
Global Mall 環球新北中和,https://ifoodie.tw//restaurant/5f451eb32756dd2484d7e144-Global-Mall-環球新北中和,https://lh3.googleusercontent.com/fGzJ6eepxoKMUieybEER3125Sz5MsMYpRWLG5oPFoqtq2mvyETrb0ne_KDT9JBPio9RtGdEIoCQ_K0EWZFgStaWBZTqZgQmYv5M-jbHWQ8vL=s360,新北市中和區中山路三段122號,1069,4.7,午餐晚餐
妖怪村主題餐廳,https://ifoodie.tw//restaurant/5594e08dc03a100f375ba178-妖怪村主題餐廳,https://lh3.googleusercontent.com/ZS_WyWOByFQy3-OsjxJQkm1yrq6Snh3t3sZV6gKDIuvvCKvfpKrBaqmefNSDp4j9KHkwPToszAWZEfirCp4Zaa_sSAqMCuGD=s360,南投縣鹿谷鄉內湖村興產路2之3號,150,4.5,日本料理宵夜午餐晚餐
屋馬燒肉 崇德店,https://ifoodie.tw//restaurant/5e1736dc2756dd664af67245-屋馬燒肉-崇德店,https://lh3.googleusercontent.com/r_5yC6l5N69bY51voP2npPUVOEl2PIqYidxGCggJoWsC_o5GgcJPRogefELSKROy3dmiKQ3rrMCirFqnW2SyUCjk2pod32M=s360,臺中市北屯區崇德路二段369號,1100,4.7,小吃宵夜午餐晚餐
碳佐麻里 府前店,https://ifoodie.tw//restaurant/5598e9a940b5e30f5545f3d9-碳佐麻里-府前店,https://lh3.googleusercontent.com/lUIJhfqP-Ymwi6VMia2-p0fhX9v_KUKuGr2QgxruCmXXmFgH1Ihrp5IW-pZDUQusE_OQGlU4443NqKohC9l1MwTiM3cuojHtkV3AR7v9lBR9gg=s360,臺南市安平區府前路二段630號,700,4.7,日本料理小吃火鍋精緻高級
新莊IKEA宜家宜居-瑞典餐廳,https://ifoodie.tw//restaurant/559bfb5dc03a101f6d8b77b6-新莊IKEA宜家宜居-瑞典餐廳,https://lh3.googleusercontent.com/TrA9J0WZNjvNu2GpkymjlgUWuBSS1MOgWNba0Z33uUO9Qt2xWFrOqspmzyBuOGpa7kFh9PjIrIjM1qghSZtZ7oTci0A8ROi6q0R2utLlyw26=s360,新北市新莊區中正路1號,20,4.3,午餐早餐異國料理
南紡購物中心,https://ifoodie.tw//restaurant/615da4207cc7fc3edafd38eb-南紡購物中心,https://lh3.googleusercontent.com/nQCRjC5q8blnh_2PqjgN0AI1dnrQ_jE3sIAFNcjDiSutDBNOYq7h8wlT62h-L-kTpZWXjvfzzb7LYTQGJ2yEv2vkXJJSRc3J2SGJ71ExXII=s360,臺南市東區中華東路一段366號,200,3.9,午餐晚餐
屋馬燒肉 園邸店,https://ifoodie.tw//restaurant/559bdf3bc03a101f6d8b6b08-屋馬燒肉-園邸店,https://lh3.googleusercontent.com/629Rvq9LdoKokmmSHQeIs0sWENfZ0KbH-Q3tqdqoXg8yKCFB2Otunx_TUnbFdchbpUON46GT29Mx5FaS-YwOY9jBgKqrxgI=s360,臺中市西區公益路111號,1800,4.6,精緻高級約會餐廳宵夜午餐
Feeling18(18度C巧克力工房),https://ifoodie.tw//restaurant/5594e304c03a100f375ba2c0-Feeling-度C巧克力工房-,https://lh3.googleusercontent.com/cDhFtK2ndA2NW1foqYsUQ5JqPHK2yqZdhIvIlng5zZGEhq_uZbULcQkVIWlquN5dR7fNUFMkuBGw1THO3VD2AzWb2MwVxiBcIxVfTwX-tYQg=s360,南投縣埔裏鎮慈恩街20號,350,4.2,甜點蛋糕咖啡冰品飲料
淨園農場咖啡廳,https://ifoodie.tw//restaurant/55b959fd40b5e303a1d56d3e-淨園農場咖啡廳,https://lh3.googleusercontent.com/S35kXCQ6A4xOh4vprGpLV4Tdq19m4vnLAijew1erDAWHZxQ1cEfn0UurEtuQ5qgzTKXQ4Vp2vtWHuQ_r76tgGiv9tef-owkKpeuOPZSeaZUB=s360,高雄市小港區明聖街135巷10弄12號,500,4.4,咖啡親子餐廳景觀餐廳下午茶
くら寿司 藏壽司 松江南京店,https://ifoodie.tw//restaurant/559dcc64c03a103ee86cac82--寿司-藏壽司-松江南京店,https://lh3.googleusercontent.com/4onbh3rnhN97NqzdWPFKz7RTeja_Ap0MSsNPxOpOStYPSxhfKMTxhzmYBbSHfLma_ZvJnlwLUqa5hrq3JhuSJPIboNljoCN_UIgiJ7SzLsJy=s360,臺北市中山區南京東路二段101號B1F,500,4.5,日本料理約會餐廳午餐晚餐
京站時尚廣場,https://ifoodie.tw//restaurant/61fd34aabaf6d363993c4937-京站時尚廣場,https://lh3.googleusercontent.com/8FfvsB53fTlcGrvJ40HtehXDYO4WkVL_wccMYLFELwVDJoDRYOyVBOrC2jw8O0gBahcBwqgNitutWhXJK8hC1je7aLnT94VNWLX3O0rqsYY=s360,臺北市大同區承德路一段1號,70,4.3,午餐晚餐食品專賣店
碳佐麻理 高美店,https://ifoodie.tw//restaurant/559b40bdc03a1002dd4db2f7-碳佐麻理-高美店,https://lh3.googleusercontent.com/kqKRpbNZCqOlkhWnLbthUSFgYT5cadTuX8aFBHpFowosWAq0gcWbVP8OBAGA5zO3Wiz1RI2YrtaIv3BhhzxBqZvxvghnVtPKgNBNBhsSs2Aq1Q=s360,高雄市鼓山區美術東四路562號,2000,4.6,日本料理精緻高級約會餐廳宵夜
華泰名品城 GLORIA OUTLETS,https://ifoodie.tw//restaurant/63f76a1901ba333bb287c47a-華泰名品城-GLORIA-OUTLETS,https://lh3.googleusercontent.com/pYTZKRUjHyYqrMKxZqkTwj-yAqIV2zX1LxLeJ6zNZZuGnG1WluVskSpEmv0C9-87c7-TVBvpW1aLKz_4Q4gu1azIUQIgjJKMkz3mAUSWx1k=s360,桃園市中壢區春德路189號,180,4.2,午餐晚餐
